Func  Addr                              Data                              Rd     DataIn                             Mdelay w  r sel DataOut                           Data1                               Stall
AUIPC 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
LUI-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
JAL-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
JALR- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BEQ-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BEQ-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BNE-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BLT-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BLT-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BGE-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BLTU- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BGEU- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
LB--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  1 00  10101010101010101010101010101010  11111111100000000000000000001100    0
LH--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  1 01  10101010101010101010101010101010  11111111100000000000000000001100    0
LW--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  1 10  10101010101010101010101010101010  11111111100000000000000000001100    0
LW--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   1      0  1 10  10101010101010101010101010101010  11111111100000000000000000001100    1
LBU-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  1 00  10101010101010101010101010101010  11111111100000000000000000001100    0
LHU-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  1 01  10101010101010101010101010101010  11111111100000000000000000001100    0
SB--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      1  0 00  10101010101010101010101010101010  10101010101010101010101010101010    0
SH--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      1  0 01  10101010101010101010101010101010  10101010101010101010101010101010    0
SW--- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      1  0 10  10101010101010101010101010101010  10101010101010101010101010101010    0
