ra      rav   rb      rbv     rd      we    R     DataIn                            DataA                             DataB
00000   0     00000   0      00000    0     1     00000000000000000000000000000000  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
00001   1     00010   0      00011    1     0     00000000000000000000000000000011  00000000000000000000000000000000  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
00001   0     00010   0      00100    1     0     00000000000000000000000000000100  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
00011   1     00100   1      00001    1     0     00000000000000000000000000000001  00000000000000000000000000000011  00000000000000000000000000000100
00000   1     00001   1      01000    1     0     00000000000000000000000000001000  00000000000000000000000000000000  00000000000000000000000000000001
01000   0     00001   0      10010    1     0     00000000000000000000000000010010  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
01000   1     10010   1      10100    1     0     00000000000000000000000000010100  00000000000000000000000000001000  00000000000000000000000000010010
01000   0     10010   0      10100    0     0     11111111111111111111111111110100  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
10100   1     10010   1      10110    1     0     00000000000000000000000000010110  00000000000000000000000000010100  00000000000000000000000000010010
10110   0     10111   0      10111    1     0     00000000000000000000000000010111  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
10110   1     10111   1      11000    1     0     00000000000000000000000000011000  00000000000000000000000000010110  00000000000000000000000000010111
11000   1     11001   0      00011    1     0     11111111111111111111111111100011  00000000000000000000000000011000  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
00000   1     00011   1      00100    0     0     00000000000000000000000000000000  00000000000000000000000000000000  11111111111111111111111111100011
00001   0     00100   0      00000    1     0     00000000000000000000000000000011  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
00000   1     00100   0      00000    0     0     00000000000000000000000000000000  00000000000000000000000000000000  ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ
